"","id","description","condition","3.81e-06","1.526e-05","6.104e-05","0.00024414","0.00097656","0.00390625","0.015625","0.0625","0.25","1","sumUniPeps","sumPSMs","countNum"
"1","P04075","Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2","NADPH.r1",1,0.974007318165515,0.991117218685438,0.965547877763961,0.966641456546726,0.978475052215045,1.00172171857114,0.983575577277234,1.04568550444873,0.987108655616943,3,1019,72
"2","P04075-2","Isoform 2 of Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA","NADPH.r1",1,1.01080407117293,1.03746941533068,1.05908435644647,1.10059423458913,0.847200956436017,0.967409998755828,0.983767755026748,1.12613042096443,0.964028776978417,1,976,1
"3","P08238","Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4","NADPH.r1",1,0.987951970418329,0.98865825347616,0.992225108556205,0.993422062451478,0.998539944672568,1.00722054407185,0.993696683629569,1.07613579918909,1.02780441035475,23,1004,107
"4","P06733","Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2","NADPH.r1",1,0.979837612078186,0.98490988810357,0.975492365138142,0.986810134638201,0.99779597838876,1.01832145566363,0.983687556766576,1.12238964942422,0.973660308810173,18,924,77
"5","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1","NADPH.r1",1,0.977823460792523,0.975576916153652,0.979024805856957,1.00130818976156,1.0123441473854,1.02078598587332,0.990036370249136,1.09162180637443,0.950354609929078,26,804,83
"6","P07900-2","Isoform 2 of Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1","NADPH.r1",1,0.972782251144656,0.99137598476664,0.988614140541578,0.990631320476484,1.01007044494877,1.01405922054914,0.995650245446164,1.07687504146811,1.04178814382896,27,748,53
"7","P63261","Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1","NADPH.r1",1,1.08384078725465,0.961548711816587,0.984934718575981,0.989788682709705,0.955591914539928,0.971088958796852,1.00172045557727,0.897941264673784,0.825250192455735,1,681,1
"8","P60709","Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1","NADPH.r1",1,0.985570221519187,0.988779771778104,0.993920256826852,1.00929112824997,1.04124524857903,1.0308384888676,1.00244978536832,1.0669068395336,0.959713518352731,1,680,55
"9","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","NADPH.r1",1,0.984827231088023,0.990012324789538,0.979767780865174,0.981398413107616,1.00599327326463,1.01247796909603,1.00159037670149,1.00077676962996,0.882304526748971,4,568,55
"10","P04406-2","Isoform 2 of Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH","NADPH.r1",1,0.957543220456544,1.06151589969571,1.02389146352859,1.01066832031838,1.21745039357583,1.02183171131851,1.03747418898849,0.916105454616793,0.74808094905792,1,523,2
